Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,100n,
D1,D_SOD-323F,1,D,
J1,PinSocket_2x20_P2.54mm_Vertical,1,GPIO,
"J10, J7, J9",PinHeader_1x04_P2.54mm_Vertical,3,Conn_01x04,
"J16, J17",PinHeader_2x03_P2.54mm_Vertical,2,Conn_02x03_Counter_Clockwise,
J2,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02,
"J3, J4, J5, J6, J8",PinHeader_1x02_P2.54mm_Vertical,5,Conn_01x02,
JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,ID_WP,
Q1,SOT-23,1,SS8050,
"R1, R2",1206,2,3.9k,
R10,0805,1,R,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,CAT24C256,
U2,InvenSense_QFN-24_3x3mm_P0.4mm,1,ICM-20948,
U3,TSSOP-14_4.4x5mm_P0.65mm,1,TXS0104EPW,
"U5, U6",SSOP-24_5.3x8.2mm_P0.65mm,2,TB6612FNG,
U7,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,1,MAX98357A,
