Designator,Mid X,Mid Y,Rotation,Layer
C1,59.95,36.034097,0.0,top
D1,41.5,40.0,180.0,top
J1,32.5,52.5,270.0,bottom
J10,6.5,42.73,180.0,top
J16,42.46,3.73,90.0,top
J17,51.46,3.73,90.0,top
J2,45.27,42.5,270.0,top
J3,3.0,16.505,0.0,top
J4,3.0,10.02,180.0,top
J5,62.5,11.52,180.0,top
J6,62.5,18.005,0.0,top
J7,23.0,2.25,90.0,top
J8,34.02,2.525,90.0,top
J9,3.115,42.73,180.0,top
Q1,39.05,43.0625,90.0,top
R1,56.0,37.534097,90.0,top
R10,44.0,45.5,0.0,top
R2,56.0,44.034097,270.0,top
U1,61.0,41.034097,0.0,top
U2,15.661053,44.082767,225.0,top
U3,23.3625,44.5,90.0,top
U5,12.5,12.5,270.0,top
U6,54.0,13.75,90.0,top
U7,33.993204,9.538864,315.0,top
